Datetime,Tweet Id,Text,Username
2022-01-24 03:27:14+00:00,1.49E+18,ada yg bisa jelasin ngga #SMArigged,philosovhy
2022-01-24 03:23:57+00:00,1.49E+18,"#SMArigged Trends After NCT Dream, BLACKPINK Rose, Stray Kids and More Failed to Win Bonsang https://t.co/hSWSCU110V",KPOPFansApp
2022-01-24 03:23:27+00:00,1.49E+18,"And I know that the other DIVES are wrong but it won't get fixed by fighting them, you can also tell them that put the hate on SMA not on the artist, don't fight with them. They also have a right to get mad. #SMArigged #SMA_RespectIVE #IVE_ELEVEN #IVE #OMEGA_X #EPEX",HeraYhra
2022-01-24 03:22:45+00:00,1.49E+18,"Sumpah aneh bgt sama yang namanya fandom nctzen, padahal other unit nya dapet diskriminasi yang jelas bgt tapi gak ada apa"" tuh omongan di base yg ada cmn selamat untung aja si ini menang jadi gpp, what are you kidding Please don't continue to normalize this
#NCTDREAM #SMArigged",Mina30900721
2022-01-24 03:20:59+00:00,1.49E+18,"@RaiseTheRoof6 @bertrish770 Oh NCT 127, now everyone know that you guys are just a bunch of thieves 😘

#SMARigged",825hellofuture
2022-01-24 03:20:19+00:00,1.49E+18,I understand that a lot of fans are angry after all the #SMArigged ordeal but don't go and hate on the kpop artists that SMA chooses! It's not their fault shady SMA choose them! You should keep SMA accountable and complain to them instead of dragging those who got chosen! https://t.co/DANEtxhiKd,hitomi2oo7
2022-01-24 03:20:01+00:00,1.49E+18,"TXT dan NCT DREAM Diduga Dicurangi dalam Ajang Seoul Music Awards 2022, Ternyata Ini yang Terjadi

#SMARigged #NCTDREAM
#TXT https://t.co/rWxifaU3I4",seputargresikid
2022-01-24 03:19:20+00:00,1.49E+18,"#SMArigged i can't believe, this awards give random Bonsang Awards for 13 Artist. Even some of them out in top 20 voting and lack in sales hanteo. 

Stray Kids get robbed..",bananasunglix
2022-01-24 03:18:32+00:00,1.49E+18,"Dinilai Manipulasi! Tagar #SMARigged Jadi Trending Topik di Twitter, Netizen: MATA LU BUTA KAH?

#SMA2022
 https://t.co/e783eRmiA4",seputargresikid
2022-01-24 03:17:20+00:00,1.49E+18,"@SMA_global THE DISRESPECT TO IVE
#SMArigged #SMA_RespectIVE",BtrflyHmx
2022-01-24 03:15:23+00:00,1.49E+18,"Monster Rookies! 🌟
#SMA_RespectIVE #SMArigged https://t.co/AyOvbVgmIi",Harry__Hoon
2022-01-24 03:14:43+00:00,1.49E+18,"@RaiseTheRoof6 @bertrish770 Yeah, nothing can change the fact that they won Daesang last night, but now everyone know that they don't deserve that award 🤭

#SMARigged",825hellofuture
2022-01-24 03:14:13+00:00,1.49E+18,"I'm looking at you SMA
#SMArigged https://t.co/qNtS0JdjzD",jjinniewoo
